歌曲排名,排名变化,歌曲名称,歌曲作者,歌曲链接
1,new,十二月的奇迹,罗言,/song?id=2650136893
2,-1,十二月的奇迹 (Miracles in December),EXO,/song?id=28059507
3,new,一百个未老先衰的方法,MC 张天赋,/song?id=2651242710
4,new,给我个理由,Zkaaai,/song?id=2650083076
5,new,12월의 기적 (Miracles In December),安洛贤,/song?id=28059506
6,new,没关系 (That's okay),樊音悦动,/song?id=1375270512
7,new,冬去春又来,EXO,/song?id=2651528954
8,1,爱错,도경수 (D.O.),/song?id=25641873
9,20,小孩儿,谷江山,/song?id=1844680639
10,new,DRIP,隆历奇,/song?id=2642222705
11,new,她总是,王力宏,/song?id=2649285030
12,new,难道爱你全是错,THE BOOTLEGS 靴腿,/song?id=1974686536
13,new,勋章,BABYMONSTER,/song?id=35447132
14,new,Dream Love,万乐体,/song?id=2645585433
15,1,Cry For Me (feat. Ami),小宝总,/song?id=27681762
16,new,初雪 (Chinese Ver.),鹿晗,/song?id=28068791
17,new,那个女孩,DLSS,/song?id=2651118655
18,new,猫奇亚和小狗,Michita,/song?id=2645828116
19,new,一点,EXO,/song?id=2641867659
20,new,船,宝石Gem,/song?id=2639974738
21,new,Back To December,Maochia,/song?id=19293014
22,new,Kamin,Nicole,/song?id=1436099140
23,new,첫 눈,Muyoi,/song?id=28068785
24,new,Back To December (Taylor's Version),Pezzi,/song?id=2059790317
25,28,"Baby, Don't Cry (人鱼的眼泪)",鹭卓,/song?id=26428032
26,new,哀人(i) (Live版),Taylor Swift,/song?id=2650828555
27,new,等天晴,EMIN,/song?id=2630540996
28,new,我怀念的,JONY,/song?id=287063
29,new,失恋冰茶,EXO,/song?id=2648931865
30,new,小孩,Taylor Swift,/song?id=2620108348
31,new,现当代爱情,EXO,/song?id=2651792038
32,new,"Love, Maybe",汪苏泷,/song?id=2642223442
33,new,在你身后,门尼,/song?id=1336497488
34,new,十二月的奇迹,涂宇鑫,/song?id=2651523463
35,new,爱爱爱,孙燕姿,/song?id=82453
36,new,滥俗的歌,Ecrolyn,/song?id=2651447604
37,new,茶花开了 (Live版),蒋孜怡,/song?id=2650827769
38,new,我的城市下了雪,Bo Peep,/song?id=2650427570
39,new,茶花开了,爱吃小炒肉,/song?id=2650815712
40,new,CLIK CLAK,BABYMONSTER,/song?id=2642223441
41,new,奈何天,杂草怪,/song?id=2651521712
42,new,走在冷风中 (Live),en,/song?id=1808659825
43,new,窝火,方大同,/song?id=2650464678
44,new,life force,钟楚曦,/song?id=2627552275
45,new,曾经是情侣 (Live),李宇春,/song?id=1370880017
46,new,我好困啊... zzZ,王睿卓,/song?id=2651496088
47,new,Titanic,无面小生,/song?id=2625981151
48,new,放生,王睿卓,/song?id=1831452514
49,new,Midnight Sky,BABYMONSTER,/song?id=2644225034
50,new,咆哮 (Growl),黄诗扶,/song?id=555973319
51,new,悲伤世界,刘思涵,/song?id=2646957407
52,new,靶心挂在嘴角,展驰,/song?id=1918575362
53,new,【双声道】你离开的村落,ptasinski,/song?id=2120900743
54,new,好歌献给你 (live),RJ Pasin,/song?id=2651498753
55,new,匿名的好友,梁博,/song?id=2640832763
56,new,APT.,SHARK卫彬月,/song?id=2650624080
57,new,我知道 (live),MysQl,/song?id=2624564350
58,new,过度想象,半吨兄弟,/song?id=2641177691
59,new,Only one,Sveribe,/song?id=5341517
60,new,关于你（Live）,EXO,/song?id=2651557253
61,new,水中リフレクション,Sasuke,/song?id=2650432816
62,new,你不用懂,CodeC,/song?id=2646516254
63,new,烈火,罗言,/song?id=2649188336
64,new,边哭边爱,LSGCsikoriot,/song?id=2650497166
65,new,埋藏宝藏的地方,盐酸,/song?id=2650981367
66,new,雪婚纱,猫扎特,/song?id=2643855606
67,new,"Baby, Don't Cry",谭咏麟,/song?id=2650537301
68,new,November Night,陈慧娴,/song?id=2648789045
69,new,敕勒歌,周慧敏,/song?id=2646231923
70,new,心的彼岸,回春丹,/song?id=2651198281
71,new,hood grammy,方力申,/song?id=2645969493
72,new,signal 0,薛凯琪,/song?id=2651687825
73,new,爱难逃,黄子弘凡,/song?id=2646957771
74,new,云和雨 typebeat,李宇春,/song?id=2651477003
75,new,Really Like You,容祖儿,/song?id=2642223443
76,new,Love In My Heart,周笔畅,/song?id=2642223445
77,87,我知道,陈小春,/song?id=1430303185
78,new,Sorrow,李昊,/song?id=27955142
79,81,天天,卫兰,/song?id=1440148562
80,new,蜜湖,古巨基,/song?id=1437222759
81,new,All We Do (10 Years On),全场观众,/song?id=2643483333
82,new,南风北巷 (Live版),张叶蕾,/song?id=2648556834
83,new,床头灯,Kiik,/song?id=64702
84,new,奈布的怀想夜,신기원 (ShinGiWon),/song?id=2651540997
85,new,나니까,姚晓棠,/song?id=22700129
86,new,BILLIONAIRE,闭文思,/song?id=2642223444
87,new,モニタリング,BoA,/song?id=2639291583
88,new,卡拉永远OK,姚晓棠,/song?id=32705296
89,new,一生的爱,美波,/song?id=108267
90,new,Lonely (Remastered),J. Sheon,/song?id=1841020377
91,new,她不再幻想,曹昆-,/song?id=2649317273
92,new,Temperature rising’s,迦勒,/song?id=2651565900
93,new,整个冬天都是你,脑浊乐队,/song?id=2018096932
94,new,"R&B x Pop Type Beat ""Out of Control""",谢天笑,/song?id=2035271676
95,new,镜花水月,泡芙芙Scarlett,/song?id=2643061411
96,new,Hustlers & Hardcore (D-Mix),高睿,/song?id=2650187638
97,new,嗲嗲 (feat. 万妮达 & Joeboy),黑松,/song?id=2650263671
98,new,I love us,凡清（Fanish）,/song?id=2650022071
99,new,りぺいん (feat. 初音ミク),阿斯罕,/song?id=2649249533
100,new,我只是想要一个拥抱,尹昔眠,/song?id=2651901377
