歌曲排名,排名变化,歌曲名称,歌曲作者,歌曲链接
1,new,十二月的奇迹,罗言,/song?id=2650136893
2,new,船,鹭卓,/song?id=2639974738
3,new,曼陀罗华,Sasuke,/song?id=2643535318
4,new,租购,薛之谦,/song?id=2648841571
5,new,你的 (Live版),汪苏泷,/song?id=2648559311
6,new,一点,贺仙人,/song?id=2641867659
7,new,野人 (Live版),Muyoi,/song?id=2644174802
8,new,褪黑素 (Live版),Pezzi,/song?id=2644174830
9,new,What Does It Mean to You,陈粒,/song?id=2643514137
10,new,Ma Meilleure Ennemie,孟维来,/song?id=2626364437
11,new,恋痛,张信哲,/song?id=2643121166
12,new,哀人(i) (Live版),江皓南,/song?id=2650828555
13,new,凑热闹,Carpetman,/song?id=2645892440
14,new,luther,Stromae,/song?id=2649423776
15,new,滥俗的歌,Pomme,/song?id=2651447604
16,new,number one girl,伍六七,/song?id=2643172761
17,new,敕勒歌,6SP,/song?id=2646231923
18,new,秋风 (粤语版),汪苏泷,/song?id=2642284128
19,new,茶花开了,门尼,/song?id=2650815712
20,new,给我个理由,Sasablue,/song?id=2650083076
21,21,轻舟,Kendrick Lamar,/song?id=2139348158
22,new,想你,钟楚曦,/song?id=2642267710
23,new,小行迹（Live版),ROSÉ,/song?id=2648874973
24,new,モニタリング,阿斯罕,/song?id=2639291583
25,new,爱难逃,四熹丸子,/song?id=2646957771
26,new,消散对白,王睿卓,/song?id=2645495145
27,new,小孩 (Live版),Zkaaai,/song?id=2648556909
28,new,Dream Love,安洛贤,/song?id=2645585433
29,new,一百个未老先衰的方法,樊音悦动,/song?id=2651242710
30,new,爱的就是你,张杰,/song?id=2642686308
31,new,这样很好 (Isha's Song),刘大拿,/song?id=2643800682
32,new,她总是,褚晨茜,/song?id=2649285030
33,new,小岛随笔,赵雷,/song?id=2644489929
34,new,我记得（Live版),DECO*27,/song?id=2648874978
35,new,Nothing's Gonna Stop Us Now,安息日,/song?id=2643098080
36,new,K9,杜宣达,/song?id=2648223740
37,new,我们没开始,李宇春,/song?id=2650021091
38,new,你不明白,罗森涛,/song?id=2642278534
39,new,想念你想我,DLSS,/song?id=2646438117
40,new,爱的就是你,MC 张天赋,/song?id=2650464654
41,new,关于海的故事,Sasablue,/song?id=2650849020
42,new,好歌献给你 (live),陈奕迅,/song?id=2651498753
43,new,Remember Me,双城之战,/song?id=2626364251
44,new,南风北巷 (Live版),英雄联盟,/song?id=2648556834
45,new,茶花开了 (Live版),万乐体,/song?id=2650827769
46,new,你最珍贵 (我会送你红色玫瑰),huhualsichkann,/song?id=2650464718
47,new,Suyattim,赵雷,/song?id=2643828995
48,new,从未见过的海,Dream Tunes,/song?id=2644183063
49,new,温触,Six Teen,/song?id=2642292188
50,new,直到我 (Live版),周兴哲,/song?id=2646468716
51,new,当爱在靠近,陈麒名,/song?id=2641690919
52,new,Coverage,周兴哲,/song?id=2600227363
53,new,心之科学 (live),崔十八,/song?id=2651495968
54,new,她不再幻想,听潮阁,/song?id=2649317273
55,new,Something New,柯东,/song?id=2646468702
56,new,开始懂了,造梦师DreamMaker,/song?id=2646148826
57,new,伤心剖半,谭咏麟,/song?id=2645863649
58,new,旧伤口,陈慧娴,/song?id=2647373433
59,new,归途的光,周慧敏,/song?id=2643164201
60,new,小猫坏事做尽！,回春丹,/song?id=2645306904
61,new,你一定能看见,方力申,/song?id=2648100793
62,new,星外无声,薛凯琪,/song?id=2646535880
63,new,Yaxigili Kaldim,黄子弘凡,/song?id=2643795016
64,new,Sucker,李宇春,/song?id=2626363128
65,new,谁不想 (Live版),容祖儿,/song?id=2646468786
66,new,失恋冰茶,周笔畅,/song?id=2648931865
67,75,宿命之眼,陈小春,/song?id=2139348171
68,new,"亲爱的, 那不是爱情",李昊,/song?id=2648574642
69,new,跳楼机,卫兰,/song?id=2645500113
70,new,十二月的奇迹,古巨基,/song?id=2651523463
71,new,那个女孩,全场观众,/song?id=2651118655
72,new,The Line,d4vd,/song?id=2626364465
73,new,Last Dance,杨宗纬,/song?id=2650170072
74,new,相依为命 (live),邵帅,/song?id=2651495969
75,new,窄门,李宇春,/song?id=2649026403
76,new,晚婚,王睿卓,/song?id=2648874808
77,new,几乎是爱情,余超颖,/song?id=2650022065
78,new,记忆闪帧,孙伯纶,/song?id=2648605163
79,new,猫奇亚和小狗,Ghulameli Ghupur,/song?id=2645828116
80,new,"Baby, Don't Cry",告五人,/song?id=2650537301
81,new,Under the Tree (from “That Christmas”),橘猫烧鲷鱼,/song?id=2649641923
82,new,Azalea,寒晗,/song?id=2643092558
83,new,离开以后 (live),袁娅维TIA RAY,/song?id=2651498748
84,new,HOWLING,青井,/song?id=2641928125
85,new,不要倒下去,en,/song?id=2638526143
86,new,还没有听到,ljz329,/song?id=2644504495
87,new,恋爱单行道,AZ啊之,/song?id=2646926833
88,new,IN THE RAIN,李昊,/song?id=2641928970
89,new,没有一杯茶解决不了的事 (feat. 杨和苏KeyNG),陈婧霏,/song?id=2647785252
90,new,Cute,马思唯,/song?id=2648203211
91,new,巴掌印,en,/song?id=2644581592
92,new,我才不会以爱之名困住你,邓典,/song?id=2650038915
93,new,Ambiguous Morality,KIND,/song?id=2646863716
94,new,我知道,安定區Stable zone,/song?id=2643509229
95,new,春不晚 (Live版),诺爷Plus,/song?id=2648559415
96,new,错落,小鷹,/song?id=2646891131
97,new,头文字T (Live),李健,/song?id=2651445287
98,new,忘,棱镜乐队,/song?id=2644182486
99,new,太陽,Abduzayir-Namayan,/song?id=2649156123
100,new,Winner,Marcus King,/song?id=2644628426
