歌曲排名,排名变化,歌曲名称,歌曲作者,歌曲链接
95,89,如愿,玉慧同学,/song?id=1888381008
96,92,太聪明,Max Oazo,/song?id=209397
97,new,如果可以 (Live版),Moonessa,/song?id=2149816863
98,97,想你时风起,郑润泽,/song?id=2062623445
99,new,一点,G.E.M.邓紫棋,/song?id=2641867659
100,95,淘汰,张芸京,/song?id=65528
101,107,总有一天你会出现在我身边,买辣椒也用券,/song?id=1303027499
102,94,小美满,董唧唧,/song?id=2124381474
103,85,命运,何村猪,/song?id=2005492223
104,99,带我去找夜生活,南征北战NZBZ,/song?id=1410647903
105,new,Dehors（中法合唱版）,Corki刘宗鑫,/song?id=2607303573
106,new,不懂她,余佳运,/song?id=2636746926
107,96,南风北巷,告五人,/song?id=1471039968
108,103,给你呀（又名：for ya）,江语晨,/song?id=1497588709
109,102,Call Me Now,李荣浩,/song?id=1485309632
110,108,在加纳共和国离婚 (你还爱我吗),蔡健雅,/song?id=2072639869
111,109,晚风,王菲,/song?id=1441758494
112,115,天外来物,陈绮贞,/song?id=1463165983
113,108,你要的全拿走,汪苏泷,/song?id=529668356
114,123,算了吧,徐佳莹,/song?id=1908049566
115,113,诀别书,单依纯,/song?id=2038191895
116,112,暖一杯茶,Muyoi,/song?id=1371780785
117,116,唱月,Pezzi,/song?id=1317116644
118,new,Moonlit Dream,陈奕迅,/song?id=2613048732
119,114,他不懂,棱镜乐队,/song?id=28059417
120,109,天天,周深,/song?id=150633
121,121,他只是经过,家家,/song?id=1443838552
122,106,Dehors,告五人,/song?id=1815725297
123,132,向云端,曾舜晞,/song?id=2049512697
124,127,我愿,JORDANN,/song?id=1359382613
125,126,倒数,伍六七,/song?id=1299550532
126,112,5:20AM,邵帅,/song?id=2124731026
127,117,嗜好,蒋小呢,/song?id=1391891631
128,121,你在 不在,Michael Calfan,/song?id=233921
129,new,野人 (Live版),INNA,/song?id=2644174802
130,120,知我,菲道尔,/song?id=1394167216
131,128,我们的歌,Dior大颖,/song?id=2025533834
132,134,一程山路,7opy,/song?id=1417849873
133,129,猜不透（说唱版）,BT07,/song?id=2066713227
134,new,첫 눈,薛之谦,/song?id=28068785
135,134,普通人生,胡彦斌,/song?id=2041799838
136,new,勋章,Aioz,/song?id=35447132
137,141,我的美丽feat.海洋Bo,刘思达LOFTHESTAR,/song?id=1979417838
138,136,谁 (Live版),张天枢,/song?id=566436427
139,142,爱情转移,邓垚,/song?id=65536
140,143,11,邵帅,/song?id=1907766514
141,142,少一点天分,李耀阳,/song?id=543798652
142,139,恶作剧,DLSS,/song?id=255574
143,148,直到你降临,Xun Jia,/song?id=1459261754
144,143,别问很可怕,张杰,/song?id=469998923
145,126,心如止水,陶喆,/song?id=1349292048
146,149,若把你,h3R3,/song?id=865632948
147,131,Coco Elva Tia,高旭,/song?id=1960619633
148,150,程艾影,JORDANN,/song?id=1974443815
149,new,匿名的好友,小霞,/song?id=2638621689
150,118,颓,海洋Bo,/song?id=541648644
151,140,最后一页（爱只能在回忆里完整）,阿虾,/song?id=445154140
152,new,不要说话,G.E.M.邓紫棋,/song?id=25906124
153,150,普通朋友,刀酱,/song?id=150623
154,new,爱错,颜人中,/song?id=2629921305
155,137,如果可以,郭采洁,/song?id=2144209098
156,new,下一次爱情来的时候,陈粒,/song?id=209046
157,157,第三人称,孟维来,/song?id=502043537
158,155,致你,国风堂,/song?id=1867217766
159,195,迷宫,哦漏,/song?id=2033897126
160,160,素颜,刘大拿,/song?id=167827
161,new,褪黑素 (Live版),毛不易,/song?id=2644174830
162,150,我们的明天,卢卢快闭嘴,/song?id=29771231
163,new,最好的时光,刘思达LOFTHESTAR,/song?id=1989506149
164,new,孤雏,EXO,/song?id=421486605
165,new,罗生门2024,海洋Bo,/song?id=2624625493
166,new,这世界那么多人,鹿晗,/song?id=1842025914
167,164,有我呢,海洋Bo,/song?id=1400259397
168,166,江南,高睿,/song?id=108914
169,130,牵丝戏,廖俊涛,/song?id=30352891
170,176,April Encounter,陈奕迅,/song?id=551400874
171,new,一样的月光,队长,/song?id=306665
172,168,落空,黄礼格,/song?id=548885986
173,170,爱的就是你,孙盛希,/song?id=1969013954
174,new,爱慢慢慢慢来,林依晨,/song?id=2609291566
175,new,不如回家喝自来水 (Live版),阿肆,/song?id=2161527760
176,new,听,J. Sheon,/song?id=431855964
177,127,My Love Mine All Mine,Ice Paper,/song?id=2082156813
178,178,我知道,Kirsty刘瑾睿,/song?id=1430303185
179,174,情歌,马思唯,/song?id=254059
180,new,Everywhere We Go,JZlee,/song?id=65739
181,161,形容,赵雷,/song?id=1336856864
182,179,达尔文,en,/song?id=2019573476
183,167,下雨天,九块钱,/song?id=1426112587
184,153,青丝,Max不爱说话,/song?id=30500857
185,new,小孩,洛尘鞅_,/song?id=2609560494
186,183,底牌,陈奕迅,/song?id=2120125578
187,186,我好像在哪见过你,陶喆,/song?id=417859631
188,158,Letting Go,en,/song?id=1923184888
189,new,沦陷,杜宣达,/song?id=2161222939
190,181,阳光下的星星,蔡健雅,/song?id=247821
191,new,时空观影券,买辣椒也用券,/song?id=2049529248
192,159,Duvet,yihuik苡慧,/song?id=3956911
193,new,거짓말,step.jad依加,/song?id=22673551
194,new,不为谁而作的歌,许嵩,/song?id=1468115100
195,161,坏女孩,何曼婷,/song?id=174956
196,147,天下,张信哲,/song?id=191254
197,new,漫步香港1999,江皓南,/song?id=2144934287
198,161,Take Me Hand,鹿晗,/song?id=26092806
199,new,命运 (Live版),安溥 anpu,/song?id=2151849447
200,162,戒烟,AGA,/song?id=518686034
