歌曲排名,排名变化,歌曲名称,歌曲作者,歌曲链接
1,0,于是,郑润泽,/song?id=1303464858
2,new,十二月的奇迹,罗言,/song?id=2650136893
3,2,罗生门（Follow）,梨冻紧,/song?id=1456890009
4,1,孤独患者,Wiz_H张子豪,/song?id=64093
5,new,APT.,陈奕迅,/song?id=2637558926
6,5,把回忆拼好给你,ROSÉ,/song?id=1403318151
7,4,Cry For Me (feat. Ami),Bruno Mars,/song?id=27681762
8,-4,爱错,王贰浪,/song?id=1301736461
9,new,小孩,Michita,/song?id=2166584564
10,6,我只能离开,王力宏,/song?id=1398283847
11,8,如果爱忘了 (live),罗森涛,/song?id=2124385868
12,11,还是会想你,颜人中,/song?id=1827600686
13,3,红,汪苏泷,/song?id=1918576268
14,13,如果呢,单依纯,/song?id=1842728629
15,13,与我无关,林达浪,/song?id=1413585838
16,15,我想念,h3R3,/song?id=2071935674
17,16,如果可以,罗言,/song?id=1890530891
18,14,予你,郑润泽,/song?id=1895330088
19,17,冬眠,阿冗,/song?id=2110700883
20,new,十二月的奇迹 (Miracles in December),汪苏泷,/song?id=28059507
21,19,忘不掉的你,韦礼安,/song?id=1851652156
22,20,指纹,队长,/song?id=1887139866
23,18,我记得,阿YueYue,/song?id=1974443814
24,19,悬溺,刘兆宇,/song?id=1397345903
25,25,无名的人,EXO,/song?id=1903149553
26,20,绽放,h3R3,/song?id=2025186889
27,25,我知道 (我知道你还是爱着我),杜宣达,/song?id=344418
28,22,再等冬天(Memories),赵雷,/song?id=1927693793
29,26,曾经是情侣 (Live),葛东琪,/song?id=1370880017
30,new,船,毛不易,/song?id=2639974738
31,22,凑热闹,郑润泽,/song?id=344403
32,new,普通女孩,By2,/song?id=2617646167
33,30,晚安,h3R3,/song?id=1359356908
34,32,特别的人,梁博,/song?id=28403111
35,34,我怀念的,鹭卓,/song?id=287063
36,new,若月亮没来 (Live版),By2,/song?id=2158973221
37,45,"Baby, Don't Cry (人鱼的眼泪)",沙一汀EL,/song?id=26428032
38,32,夏夜最后的烟火,颜人中,/song?id=1482867143
39,new,曼陀罗华,方大同,/song?id=2643535318
40,31,有些,孙燕姿,/song?id=1406649619
41,36,唯一,杨宗纬,/song?id=1807799505
42,36,哪里都是你,宝石Gem,/song?id=488249475
43,37,精卫,王宇宙Leto,/song?id=1951069525
44,36,青花,EXO,/song?id=189602
45,31,苦茶子,颜人中,/song?id=1922888354
46,42,沉溺 (你让我的心不再结冰）,Sasuke,/song?id=2034187125
47,47,富士山下,颜人中,/song?id=65766
48,40,拉过勾的,告五人,/song?id=26387325
49,41,Always Online,队长,/song?id=108485
50,50,凄美地,30年前，50年后,/song?id=436346833
51,new,小孩,周传雄,/song?id=2620108348
52,41,还是分开,Starling8,/song?id=465921195
53,40,虚拟,MoreLearn 27,/song?id=421423808
54,new,租购,FIVESTAR,/song?id=2648841571
55,61,若月亮没来 (若是月亮还没来),邹沛沛,/song?id=2119795491
56,44,麦恩莉,Pank,/song?id=25648006
57,56,出现又离开 (Live),陈奕迅,/song?id=1363553440
58,52,稳稳的幸福,陆虎,/song?id=25730757
59,62,多远都要在一起,林俊杰,/song?id=30612793
60,59,水星记,郭顶,/song?id=441491828
61,54,离别开出花,蒋孜怡,/song?id=2061978961
62,55,可不可以,张叶蕾,/song?id=553755659
63,59,在你的身边,陈粒,/song?id=475479888
64,45,红昭愿,薛之谦,/song?id=452986458
65,56,小胡同,王宇宙Leto,/song?id=1926623288
66,57,不说 (原来是不说),乔浚丞,/song?id=1436117704
67,65,紫荆花盛开,方大同,/song?id=1959528822
68,68,茫,梁博,/song?id=1495058484
69,49,遐想,陈奕迅,/song?id=2018733994
70,71,滥俗的歌,G.E.M.邓紫棋,/song?id=1923210613
71,67,红色高跟鞋,郭顶,/song?id=208902
72,76,愿与愁,就是南方凯,/song?id=2041026502
73,96,爱错,张紫豪,/song?id=25641873
74,new,秋风,盛哲,/song?id=2614851804
75,65,七月七日晴,音阙诗听,/song?id=307780
76,new,谦让 (Live版),郑润泽,/song?id=2642164470
77,65,我们的歌,周公,/song?id=25642952
78,new,你的 (Live版),李荣浩,/song?id=2648559311
79,72,沉沦与遐想,梁咏琪,/song?id=1492584510
80,79,IF YOU,李润祺,/song?id=32922450
81,68,相思遥,郑润泽,/song?id=2005252136
82,63,Once Upon A Time (House Mix),汉堡黄,/song?id=2114626833
83,77,你,蔡健雅,/song?id=1406083061
84,73,句号,林俊杰,/song?id=1405283464
85,82,偏爱,王力宏,/song?id=86369
86,85,起风了,四熹丸子,/song?id=1330348068
87,new,想你 (我和你的关系),许慧欣,/song?id=2638631174
88,61,原来,张信哲,/song?id=28892418
89,82,下坠Falling,王靖雯不胖,/song?id=1328146041
90,82,和你,王力宏,/song?id=420401511
91,90,爱人错过,汪苏泷,/song?id=1368754688
92,85,最后一页,贺仙人,/song?id=247936
93,90,慢冷 (Live),C.HØPE,/song?id=1969822728
94,85,Letting Go,BIGBANG,/song?id=208891
